Word,Positive,Negative,Strong,Weak,Active,Passive
quaint,,1,,1,,
qualifi,1,,,,,
qualification,,,1,,,
qualify,1,,,,,
qualiti,,,1,,,
quality,,,1,,,
quarantin,,2,3,,2,
quarrel,,3,,,3,
quarrelsom,,3,,,3,
queer,,1,,,,
quest,,,1,,2,
question,,1,,,,2
quick,,,1,,3,
quiet,,,,1,,3
quo,,,,,,3
rac,,1,,,3,
radical,,2,1,,2,
radically,,1,,,2,
rag,,3,1,,,1
raid,,2,2,,3,
raise,,,2,,1,
ran,,,,,3,
rancor,,2,,,,
rapid,,,1,,3,
rapport,2,,2,,,
raptur,3,,,,,
rash,,2,,,3,
ratify,2,,,,1,
rational,2,,1,,,
rationaliz,,,,1,,2
rationalization,,,,1,,2
rav,,2,,,1,
ravag,,3,3,,3,
reach,,,,,1,
react,,,,,3,
reaction,,,,,2,
reactionary,,2,,,,
read,,,,,,1
ready,,,1,,,
reaffirm,,,2,,,1
realistic,2,,1,,,
reject,,2,1,,2,
rejection,,2,1,,,
rejoic,3,,2,,3,
relat,,,,,,1
relax,2,,,1,,3
relaxation,2,,,1,,3
relay,,,,,2,
releas,1,,,,1,
reli,1,,,2,,
reliabl,2,,1,,,
relianc,1,,,2,,
relief,1,,,,,
reliev,,,,,1,
relinquish,,,,3,,3
relish,2,,,,,1
reluctant,,1,,1,,
rely,1,,,2,,
remain,,,1,,,2
remark,,,,,,2
remarkabl,2,,2,,,
remedi,2,,,,,
remedy,2,,,,,
remember,,,,,,2
remind,,,,,,2
remit,,,,,,1
remonstrat,,1,2,,,1
remors,,3,,2,,3
remot,,,,2,,3
remov,,1,3,,2,
removal,,1,3,,2,
render,1,,,,1,
renew,1,,,,2,
renunciation,,1,,1,,2
repaid,1,,2,,2,
repair,1,,2,,2,
repay,1,,2,,2,
repeat,,,,,2,
repel,,2,3,,2,
repli,,,,,,2
reply,,,,,,2
report,,,,,,1
repos,1,,,,,3
reprehend,,2,,,,
reprehensibl,,2,,,,
repres,,3,3,,2,
represent,,,,,1,
repression,,3,3,,2,
repressiv,,3,3,,2,
reprimand,,1,1,,1,
reprisal,,2,2,,2,
reproach,,2,1,,,2
reproof,,1,,,,1
reprov,,1,,,,1
reproval,,2,,,,1
repudiat,,2,2,,,1
repudiaiton,,2,2,,,
repugnanc,,3,,,,
repugnant,,,,,,
repuls,,2,3,,2,
repulsion,,2,3,,,
repulsiv,,3,2,,,
reputabl,2,,2,,,
request,1,,,,,1
requir,,1,,,1,
rescu,1,,,,3,
research,,,,,2,
resemblanc,1,,,,,
resent,,2,,,,2
resentful,,2,,,,2
resentment,,3,,2,,2
reserv,,,1,,1,
reservoir,,,1,,,
resign,,,,1,,3
resist,,2,3,,3,
resistanc,,2,3,,3,
resolut,2,,3,,2,
resolutely,2,,2,,2,
resolution,,,2,,,1
resolv,2,,2,,2,
resort,,1,,,2,
respect,2,,,,,2
respectability,2,,2,,,
respond,,,1,,2,
respons,,,1,,2,
responsibiliti,1,,,,,
responsibility,1,,,,,
respond,,,1,,2,
respons,,,1,,2,
responsibiliti,1,,,,,
responsibility,1,,,,,
responsibl,2,,,,,
rest,2,,,1,,3
restful,1,,,,,3
restles,,1,,,3,
restor,1,,1,,,
restoration,,,1,,1,
restrain,,1,3,,2,
restrict,,1,3,,2,
resum,,,1,,2,
resumption,,,1,,2,
retain,,,1,,1,
retaliat,,3,3,,3,
retaliation,,3,3,,3,
retaliatory,,3,3,,3,
retir,,,,1,,3
retreat,,1,,3,3,
return,1,,,,2,
reunion,1,,,,,
reveal,,,,,,2
reveng,,3,3,,3,
revenu,,,2,,,
rever,3,,,,,
reverenc,3,,,,,2
reviv,1,,2,,3,
revolt,,3,3,,3,
revolution,,3,3,,3,
revulsion,,3,,,,
reward,3,,,,2,
rich,2,,2,,,
rid,,3,,,2,
riddanc,,2,,,,
ridden,,2,,,,
ridicul,,3,,,,1
ridiculou,,3,,1,,
right,2,,1,,,
righteou,3,,1,,,
rigid,,1,2,,,
riot,,2,1,,3,
rip,,2,3,,3,
ris,,,1,,2,
risen,,,1,,2,
risk,,1,,,,
rival,,2,2,,2,
rivalry,,2,,,1,
roam,,,,,2,
roar,,2,1,,1,
rob,,3,1,,3,
rocket,,,3,,,
rod,,,,,2,
romanc,2,,,,,
ros,,,1,,2,
rotten,,3,,3,,
rough,,1,,,,
rous,,1,2,,3,
rub,,,,,2,
rud,,2,,,,
ruin,,3,,3,2,
rul,,,3,,2,
run,,,,,3,
ruptur,,2,,,1,
rush,,,,,3,
ruthles,,3,3,,,
sabotag,,2,2,,2,
sacr,3,,,,,
sacrific,3,,,,1,
sad,,3,2,,,2
sadly,,3,,2,,2
sadnes,,3,,2,,2
saf,2,,2,,,
safeguard,2,,3,,,
safety,1,,2,,,
said,,,,,,1
saint,3,,,,,
salvation,3,,,,,
san,2,,2,,,
sanction,,2,2,,,2
sanctity,3,,,,,
sang,,,,,,1
sanguinary,,3,3,,,
sanitary,2,,,,,
sanity,2,,1,,,
sank,,3,,3,3,
sat,,,,,,2
satisfaction,3,,,,,
satisfactory,3,,,,,
satisfi,3,,,,1,
sav,1,,2,,2,
savag,,3,,,,
savior,3,,2,,,
saw,,,,,,1
say,,,,,,1
scandal,,2,,,,
scant,,,,2,,
scapegoat,,2,,2,,
scar,,2,,3,,2
scarc,,1,,,,
scarcely,,1,,,,
scatter,,,,,3,
schem,,2,,,,
schism,,2,,,,
scoff,,1,,,,
scold,,2,1,,,1
scor,,,1,,1,
scorn,,3,,,,2
scornful,,3,,,,2
scoundrel,,2,,,,
scourg,,3,3,,,
scrambl,,1,,2,3,
scratch,,1,,,2,
scream,,3,,,,1
se,,,,,1,
search,,1,1,,2,
secrecy,,1,,,,
secret,,1,,,,
secur,3,,2,,1,
security,3,,2,,,
sedition,,2,,,2,
seek,,1,,,3,
seiz,,2,3,,3,
select,,,,,2,
selfish,,2,,1,,
sell,,,,,2,
send,,,,,2,
sens,,,,,,2
sensational,3,,3,,,
sensibl,2,,1,,,
sensitiv,1,,,,,
sent,,,,,2,
sentimental,1,,,2,,
separat,,,,,2,
seren,2,,1,,3,
seriou,,2,,,,
sriousnes,,2,,,,
serv,,,1,,2,
servic,,,1,,2,
settl,1,,,,2,
settlement,1,,,,,
sever,,2,3,,2,
severely,,1,1,,,
severity,,2,,,,
shak,,1,,,3,
shaken,,2,,2,,
shallow,,1,,1,,
sham,,3,,,,
shameful,,3,,3,,
shameles,,2,,,,1
shar,1,,,,,
sharp,,,2,,,
sharpen,,,,,2,
shatter,,3,3,,,
shelter,1,,,,1,
shield,1,,3,,,
shift,,,,,2,
ship,,,,,2,
shipment,,,,,2,
shock,,3,,2,2,
shon,,,,,1,
shook,,1,,,3,
shoot,,3,2,,3,
shop,,,,,1,
short,,,,2,,
shot,,3,2,,3,
shout,,2,,,,1
show,,,1,,1,
shown,,,1,,1,
shrank,,2,,2,,3
shrewd,1,,1,,,
shrink,,2,,2,,3
shrunk,,2,,2,,3
shut,,1,,,1,
sick,,2,,2,,3
sickly,,2,,2,,3
sicknes,,2,,2,,3
sieg,,3,3,,3,
sign,,,,,1,
signal,,,,,1,
significanc,1,,1,,,
significant,1,,1,,,
silenc,,,,,3,
silent,,,,1,,2
silly,,1,,1,,
similar,2,,,,,
similarity,2,,,,,
simpl,,,,1,,
sin,,2,,,,
sincerely,3,,,,,
sincer,2,,,,,
sincerity,2,,,,,
sing,,,,,,1
singlemind,2,,3,,,
sinister,,2,2,,2,
sink,,3,,3,,3
sit,,,,,,2
situat,,,,,1,
sketch,,,,,,1
skil,3,,3,,,
skill,3,,3,,,
skillful,3,,3,,,
slain,,3,,3,,
slander,,2,,,,1
slaughter,,3,3,,3,
slav,,3,,3,,
slavery,,3,,3,,
slay,,3,2,,3,
slayer,,3,2,,2,
sleep,,,,1,,3
slender,,,,1,,
slept,,,,1,,3
slew,,3,2,,3,
slight,,1,,2,,
slip,,1,,,,2
slow,,,,1,,2
small,,,,2,,
smart,2,,1,,,
smash,,3,3,,3,
smil,1,,,,,2
snap,,,,,2,
sneak,,2,,1,2,
sober,2,,2,,,
social,1,,,,,
soft,,,,2,,
sold,,,,,2,
solemn,,1,,,,2
solemnly,,1,,,,2
solicit,1,,,,,2
solid,,,3,,,
solidarity,3,,3,,,
solitary,,,,3,,
solitud,,,,2,,3
solution,1,,,,,
solv,1,,2,,3,
sooth,2,,,1,,2
sor,,2,,1,,
sorrow,,3,,,,
sorry,,2,,1,,2
sought,,1,,,3,
soul,1,,,,,
sound,1,,2,,,
sour,,1,,,,
sourc,,,1,,,
sovereign,,,3,,,
sp,,,1,,3,
spar,1,,,,2,
spark,,,,,2,
spe,,,1,,3,
speak,,,,,,1
special,2,,,,,
specialist,,,1,,,
specialiti,,,2,,,
speciality,,,2,,,
specifi,,,,,,2
specify,,,,,,2
speculat,,,,,,1
speculation,,,,,,1
speech,,,,,,1
spell,,,,,,2
spend,,,,,1,
spent,,,,1,1,
spi,,2,1,,3,
spin,,,,,2,
spiritual,2,,,,,
spit,,3,,,2,
splash,,,,,2,
splendid,3,,1,,,
split,,1,,2,2,
spoil,,2,,3,2,
spok,,,,,,1
spoken,,,,,,1
spontaneou,,,,,3,
spr,,,,,2,
sprang,,,,,2,
spread,,,,,1,
sprung,,,,,2,
spun,,,,,3,
spy,,2,1,,3,
squeez,,,,,2,
stability,2,,3,,,
stabiliz,2,,3,,3,
stabl,2,,3,,,
stand,,,2,,,3
start,,,,,2,
startl,,2,,,3,
starv,,2,,3,,3
stat,,,,,,1
statement,,,,,,1
statesman,2,,1,,,
station,,,,,2,
stationary,,,,,,3
steadfast,2,,2,,,
steadfastly,2,,2,,,
steadi,2,,2,,,
steadily,2,,2,,,
steady,2,,2,,,
steal,,3,1,,3,
steel,,,3,,,
steer,,,,,2,
step,,,,,1,
stern,,1,2,,,
stiff,,,2,,,
stifl,,2,2,,,
stigma,,3,,,,
stir,,1,,,2,
stol,,3,,,3,
stolen,,3,,,2,
ston,,,2,,,
stood,,,2,,,3
stop,,1,2,,,
stor,,,1,,,
storm,,3,2,,3,
strain,,2,,2,2,
strang,,2,,,,
strangl,,3,2,,3,
strategic,,,3,,,
stray,,1,,,2,
strength,,,3,,,
strengthen,,,3,,2,
strenuou,,,2,,3,
stres,,2,,2,2,
stretch,,,,,2,
strict,,1,1,,,
strif,,3,,3,3,
strik,,2,,,3,
striven,,1,,,3,
striv,,1,2,,3,
strok,,,,,3,
strong,,,3,,,
strongly,,,3,,,
strov,,1,2,,3,
struck,,2,,,3,
structur,,,,,,2
struggl,,3,3,,3,
struggle*-for,2,,1,,3,
struggles*-for,2,,1,,3,
stubborn,,1,1,,,
stubbornly,,1,1,,,
studi,,,,,,2
study,,,,,,2
stupid,,2,,2,,
su,,1,,,2,
subdu,,2,3,,3,
subject,,,2,,2,
subjugat,,3,3,,3,
subjugation,,3,,,,
sublim,3,,,,,3
submission,,2,,3,,3
submissiv,,2,,3,,3
submit,,1,,3,,3
subscrib,1,,,,,2
subsidiz,1,,2,,1,
substantial,,,2,,,
subtl,1,,,,,
subversion,,3,,,2,
subversiv,,3,,,2,
subvert,,3,,,2,
succe,3,,2,,,
succes,3,,2,,,
successful,3,,2,,,
successfully,2,,2,,,
sudden,,,,,2,
suffer,,3,,2,,3
suffic,2,,2,,,
sufficient,2,,2,,,
suffrag,1,,,,,
suggest,,,,,,2
suitabl,1,,,,,
sulk,,2,,2,,3
summon,,,1,,,1
sung,,,,,,1
sunk,,3,,3,,3
sunken,,3,,3,,3
superb,3,,1,,,
superficial,,1,,3,,
superfluou,,1,,,,
superior,3,,3,,,
superiority,3,,3,,,
supervision,,,2,,1,
suppli,1,,1,,2,
supply,1,,1,,2,
support,2,,3,,2,
suppos,,,,,,2
suppres,,3,3,,3,
suppression,,3,3,,3,
suprem,3,,3,,,
sur,,,1,,,
surplu,,,3,,,
surpris,,1,,,3,
surrender,,3,,3,,3
surround,,2,3,,3,
surveillanc,,,2,,1,
surviv,3,,1,,1,
survival,3,,1,,1,
suspect,,1,,,,
suspend,,1,1,,,3
suspens,,2,,,,
suspicion,,2,,,,
sustain,2,,2,,2,
swear,,1,,,,2
swift,,,1,,3,
swor,,1,,,,2
sword,,,3,,,
sympathetic,2,,,,,
sympathetically,2,,,,,
sympathi,2,,,,,
sympathy,2,,,,,
systematic,1,,2,,,
systematically,1,,2,,,
tact,2,,,,,
tak,,,2,,2,
taken,,,2,,2,
talent,,,1,,,
talk,,,,,,1
tam,2,,2,,,1
target,,3,,2,,
task,,,,,1,
taught,,,,,2,
tax,,,,,1,
teach,,,,,2,
team,,,2,,,
tear,,2,,,3,
teas,,1,,,2,
tediou,,2,,,,
tell,,,,,,1
temper,,1,,,,
temperat,1,,,,,
tempt,,1,,1,1,
tender,2,,,2,,
tendernes,2,,,2,,
temporary,,,,2,,
tens,,3,,1,,
tension,,3,,1,,
terminat,,,2,,1,
termination,,,2,,1,
terribl,,3,,,,
terrifi,,3,2,,3,
terrific,3,,3,,,
terrify,,3,2,,3,
territorial,,,1,,,
terror,,3,,,,
terroristic,,3,,,3,
terrorism,,3,,,3,
terroriz,,3,,,3,
test,,,,,2,
testifi,,,,,,1
testify,,,,,,1
thank,2,,,,,1
thankful,2,,,,,
theft,,2,,,,
thermonuclear,,,3,,,
thick,,,2,,,
thief,,,3,,2,
thiev,,3,,,2,
thin,,,,2,,
think,,,,,,2
thorough,1,,2,,,
thought,,,,,,3
thoughtful,2,,1,,,
thoughtles,,2,,1,,
thrash,,3,3,,3,
threat,,3,2,,,
threaten,,3,3,,2,
threw,,,1,,3,
thrift,1,,1,,1,
thril,3,,,,,
thrill,3,,,,,
thriv,2,,,,3,
throw,,,2,,3,
thrown,,,2,,3,
thrust,,,2,,3,
thwart,,2,3,,2,
ti,,,1,,1,
tightly,,,2,,,
timid,,,,2,,3
tiny,,,,2,,
tir,,1,,3,,3
tiresom,,1,,3,,
together,,,1,,,
told,,,,,,1
tolerabl,1,,,,,
toleranc,2,,,,,2
tolerat,2,,,,,2
took,,,2,,2,
tor,,2,2,,3,
torment,,3,2,,1,
torn,,2,,,3,
tortur,,3,3,,3,
torturou,,3,3,,3,
touch,,,,,1,
tough,,,3,,,
tradition,1,,1,,,
traditional,,,1,,,
tragedi,,3,,1,,
tragedy,,3,,1,,
tragic,,3,,1,,
train,,,,,2,
traitor,,3,,,,
trampl,,3,3,,3,
tranquil,2,,,,,3
transact,,,,,2,
transaction,,,,,2,
transfer,,,,,2,
transform,,,2,,2,
transformation,,,2,,,
transgres,,1,2,,1,
transgression,,1,2,,1,
transgressor,,1,2,,1,
translat,,,,,,1
translation,,,,,,1
transmit,1,,,,2,
transmission,1,,,,2,
transport,1,,,,2,
trap,,2,3,,,
travel,,,,,2,
treacherou,,3,2,,,
treachery,,3,2,,,
tread,,,,,2,
treason,,3,,,2,
treasonabl,,3,,,2,
treasur,1,,,,,
treat,,,,,2,
treaty,3,,,,,
trembl,,2,,3,,
tremendou,3,,3,,,
trespas,2,,2,,2,
tri,,,,,1,
trial,,1,,,,
trick,,2,,,3,
trifl,,1,,2,1,
triumph,3,,3,,3,
troop,,,3,,,
troubl,,3,,2,,
tru,3,,,,,
truc,2,,,,,
trust,2,,1,,,2
trustworthy,3,,1,,,
truth,3,,,,,
truthful,3,,,,,
try,,,,,1,
turn,,,,,2,
tyranni,,3,3,,,
tyrannical,,3,3,,,
tyranniz,,3,3,,3,
tyranny,,3,3,,,
tyrant,,3,3,,,
ugliness,,3,,,,
ugly,,3,,,,
ultimat,2,,3,,,
ultimately,,1,,,,
ultimatum,,2,2,,,
unabash,,1,1,,,
unabl,,2,3,,,3
unacceptabl,,2,,,,
unanimou,3,,3,,,
unanimously,3,,3,,,
unavoidabl,,2,,,,2
unawar,,,,1,,
unbelievabl,,1,,,,
unbreakabl,,,3,,,
uncertain,,2,,2,,2
unchalleng,,,3,,,
unchang,,,,,,3
uncheck,,,3,,,
uncomfortabl,,2,,1,,
unconditional,,,3,,,
unconsciou,,,,2,,3
uncrat,,,,,2,
undaunt,2,,3,,1,
undecid,,1,,2,,2
under,,,,1,,
undergo,,1,,,,1
undergon,,1,,,,1
undermin,,2,2,,2,
underneath,,,,1,,
understand,1,,2,,,
understandabl,1,,,,,
understood,1,,2,,,
undertak,,,2,,2,
undertook,,,2,,2,
underway,,,,,2,
underwent,,1,,,,1
undid,,1,,,2,
undo,,1,,,2,
undon,,1,,,2,
undoubt,1,,,,,
uneasy,,1,,1,,
unequal,,2,,,,
uneven,,2,,,,
unexpect,,1,,,,
unfavorabl,,2,,2,,
unfinish,,1,,1,,
unfit,,2,,3,,
unfortunat,,2,,2,,
unfriendly,,1,,,,
ungrateful,,2,,,,
unhappy,,3,,1,,
uniform,,,1,,,
unison,2,,3,,,
unit,1,,2,,,
unity,2,,3,,,
universal,2,,2,,,
unjust,,3,,1,,
unjustifi,,2,,,,
unkind,,3,,,,
unknown,,2,,,,
unlawful,,3,,,,
unlawfully,,3,,,,
unleash,,2,2,,3,
unlucky,,1,,2,,
unmistakabl,,,1,,,
unneccessarily,,1,,,,
unpleasant,,3,,,,
unrealistic,,2,,1,,
unreasonabl,,2,,,,
unreliabl,,2,,3,,
unrestrain,,1,2,,,
unruly,,2,,,2,
unsatisfactory,,2,,2,,
unscrupulou,,3,,,,
unselfish,2,,1,,,
unsettl,,2,,,,
unspeakabl,,3,,,,
unstabl,,1,,2,,
unsuccessful,,3,,3,,
unswerv,,,3,,,
unswervingly,,,2,,,
unsympathetic,,1,,,,
unti,,,,,2,
untold,,1,,,,
untru,,2,,,,
unwarrant,,1,,,,
unwelcom,,1,,,,
unwil,,1,2,,,3
unwillingnes,,1,2,,,2
unwis,,1,,1,,
unworthy,,2,,2,,
upbraid,,1,1,,,
upheaval,,3,3,,3,
upheld,1,,3,,3,
uphold,1,,3,,3,
uplift,1,,3,,3,
uppermost,3,,2,,,
upright,1,,1,,,
upris,,3,3,,2,
uproar,,2,,,,
upset,,1,,2,2,
upward,1,,1,,,
urg,,,1,,,1
urgency,,2,,,,
us,,,,,1,
useful,1,,2,,,
useles,,1,,2,,
usurp,,3,3,,2,
utiliti,1,,1,,,
utility,2,,1,,,
utmost,,,3,,,
utter,,,,,,1
utteranc,,,,,,1
vacant,,,,2,,3
vacat,,,,2,,2
vacuum,,,,,,3
vagu,,1,,1,,
vain,,2,,2,,
vainly,,2,,3,1,
valid,1,,,,,
valu,2,,2,,,
valuabl,2,,2,,,
vanish,,,,2,,2
vaniti,,1,,2,,
vanity,,1,,2,,
vanquish,,3,,,,
vari,,,,,2,
vary,,,,,2,
vast,,,3,,,
vehemenc,,2,2,,3,
vehement,,2,2,,3,
venerabl,1,,2,,,
venerat,3,,,,,1
vengeanc,,3,3,,3,
venomou,,3,,,,
vent,,,,,2,
ventur,,,,,2,
verifi,1,,1,,1,
verify,1,,1,,1,
verily,2,,,,,
veto,,1,3,,1,
vexation,,2,,2,,2
vic,,3,,1,,
viciou,,3,2,,,
vicousnes,,3,2,,,
victim,,3,,3,,
victor,3,,3,,3,
victori,3,,3,,,
victoriou,3,,3,,,
victory,3,,3,,,
vigilanc,,1,2,,1,
vigilant,,,2,,2,
vigor,1,,3,,3,
vigorou,,,2,,3,
vigorously,,,2,,3,
vilification,,2,,,,
vilify,,2,,,,1
villain,,3,,,,
villainou,,3,,,,
vindication,,2,2,,,
vindictiv,,2,,,,
violat,,2,,,3,
violation,,2,,,1,
violenc,,3,3,,3,
violent,,3,3,,3,
violently,,3,2,,3,
virtu,2,,2,,,
visit,1,,,,1,
vital,2,,2,,,
vitriolic,,2,,,,
vivid,1,,1,,,
vocal,,,,,,1
void,,1,,3,1,
volcano,,,3,,3,
voluntary,2,,,,,
vot,,,,,1,
vouch,,,,,1,
vulgar,,3,,,,
vulnerabl,,2,,3,,
vulnerability,,2,,3,,
wag,,,3,,3,
wait,,,,,,3
wak,,,1,,1,
walk,,,,,1,
wander,,,,2,2,
want,,2,1,,,2
war,,3,3,,3,
warfar,,3,3,,3,
warhead,,,3,,,
warlik,,3,3,,3,
warm,2,,,,,
warmonger,,3,1,,,
warn,,1,2,,,1
warship,,,3,,,
wast,,2,,3,1,
wasteful,,2,,3,,
watch,,,,,,2
watchful,,,1,,,2
weak,,1,,3,,
weaken,,1,,3,,
weaknes,,1,,3,,
wealth,1,,3,,,
weapon,,,3,,,
wear,,,,1,1,
weari,,1,,3,,3
weary,,1,,3,,3
weep,,2,,3,,1
weigh,,,,,1,
welcom,2,,,,,
welfar,1,,1,,,
well,2,,,,,
wellbalanc,1,,2,,,
well*-be,3,,2,,,
went,,,1,,2,
whim,,1,,,,
whin,,1,,3,,2
whip,,2,3,,3,
whirl,,,,,3,
whistl,,,,,,1
wholeheartedly,3,,,,2,
wick,,3,,,,
wid,,,2,,,
wil,1,,,,,
wild,,2,,,,
wildnes,,2,,,3,
willful,,1,,,,
willingnes,1,,1,,1,
win,3,,3,,3,
winner,3,,3,,,
wis,2,,2,,,
wisdom,2,,2,,,
wisely,2,,2,,,
wish,,,,,,2
withdraw,,1,,2,,1
withdrawal,,1,,2,,
withdrawn,,1,,2,,2
withdrew,,1,,2,,1
wither,,2,,3,,
withheld,,1,,,1,
withhold,,1,,,1,
without,,1,,1,,
withstand,,1,3,,1,
won,,,3,,3,
wonder,3,,,,,
wonderful,3,,,,,
wor,,3,,1,1,
work,,,2,,2,
worn,,,,1,1,
worri,,2,,2,,2
worry,,2,,2,,2
wors,,2,,2,,
worship,3,,,,,
worst,,3,,3,,
worth,1,,,,,
worthines,3,,2,,,
worthles,,2,,2,,
worthy,3,,2,,,
wound,,3,,3,2,
wrath,,3,,,,
wreck,,3,,3,3,
wrench,,3,2,,3,
wretch,,3,,3,,
writ,,,,,1,
writh,,3,,3,2,
written,,,,,1,
wrong,,2,,,,
yield,1,,,3,,3
young,,,2,,,
youth,,,2,,,
zeal,3,,2,,3,
